-1.161101,-0.994177,0.13363,7805,0,338.2
-1.161598,-0.994177,0.13363,7810,0,338.2
-1.162094,-0.994177,0.13363,7815,0,338.2
-1.162591,-0.994177,0.13363,7820,0,338.2
-1.163087,-0.994177,0.13363,7825,0,338.2
-1.163584,-0.994177,0.13363,7830,0,338.2
-1.16408,-0.994177,0.13363,7835,0,338.2
-1.164576,-0.994177,0.13363,7840,0,338.2
-1.165073,-0.994177,0.13363,7845,0,338.2
-1.165569,-0.994177,0.13363,7850,0,338.2
-1.166066,-0.994177,0.13363,7855,0,338.2
-1.166562,-0.994177,0.13363,7860,0,338.2
-1.167058,-0.994177,0.13363,7865,0,338.2
-1.167555,-0.994177,0.13363,7870,0,338.2
-1.168051,-0.994177,0.13363,7875,0,338.2
-1.168548,-0.994177,0.13363,7880,0,338.2
-1.169044,-0.994177,0.13363,7885,0,338.2
-1.169541,-0.994177,0.13363,7890,0,338.2
-1.170037,-0.994177,0.13363,7895,0,338.2
-1.163183,-0.996675,0.965894,0.0761,0.89612,338.2
-1.163237,-0.996396,0.965789,0.0762,0.895987,338.2
-1.16329,-0.996118,0.965685,0.0763,0.895853,338.2
-1.163343,-0.99584,0.96558,0.0764,0.89572,338.2
-1.163397,-0.995562,0.965476,0.0765,0.895587,338.2
-1.16345,-0.995285,0.965372,0.0766,0.895453,338.2
-1.163504,-0.995009,0.965267,0.0767,0.89532,338.2
-1.163557,-0.994733,0.965163,0.0768,0.895187,338.2
-1.16361,-0.994458,0.965059,0.0769,0.895054,338.2
-1.163663,-0.994184,0.964954,0.077,0.89492,338.2
-1.163717,-0.99391,0.96485,0.0771,0.894787,338.2
-1.16377,-0.993636,0.964746,0.0772,0.894654,338.2
-1.163823,-0.993363,0.964642,0.0773,0.89452,338.2
-1.163876,-0.993091,0.964537,0.0774,0.894387,338.2
-1.163929,-0.992819,0.964433,0.0775,0.894254,338.2
-1.163982,-0.992548,0.964329,0.0776,0.894121,338.2
-1.164035,-0.992277,0.964225,0.0777,0.893988,338.2
-1.164088,-0.992007,0.964121,0.0778,0.893854,338.2
-1.164141,-0.991738,0.964017,0.0779,0.893721,338.2
